City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Salalah,OM,17.0151,54.0924,84.29,74,20,14.97,few clouds
79,Muros,ES,42.7762,-9.0603,74.08,68,1,0.56,clear sky
80,Roald,NO,62.5833,6.1333,49.91,76,75,20.71,broken clouds
81,Skelleftea,SE,64.7507,20.9528,54.0,69,0,14.97,clear sky
82,Codrington,AU,-38.2667,141.9667,45.37,78,10,7.4,clear sky
83,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,19.57,scattered clouds
84,Brae,GB,60.3964,-1.353,49.48,67,99,13.58,overcast clouds
85,Necochea,AR,-38.5473,-58.7368,46.71,87,76,22.24,broken clouds
86,Chapadinha,BR,-3.7417,-43.3603,87.98,49,27,6.26,scattered clouds
87,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.67,60,39,14.58,scattered clouds
88,Bambous Virieux,MU,-20.3428,57.7575,77.25,61,40,16.11,scattered clouds
89,Torquay,GB,50.4638,-3.5143,63.57,70,1,4.0,clear sky
90,Honningsvag,NO,70.9821,25.9704,44.35,76,75,9.22,broken clouds
91,Corinto,GR,37.9407,22.9573,75.88,35,1,5.95,clear sky
92,Olinda,BR,-8.0089,-34.8553,80.33,69,40,12.66,scattered clouds
93,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,16.11,light intensity drizzle
94,Hofn,IS,64.2539,-15.2082,39.67,97,100,13.11,light rain
95,Upernavik,GL,72.7868,-56.1549,18.95,80,100,8.19,overcast clouds
96,Nizhniy Baskunchak,RU,48.2198,46.8311,65.71,43,99,8.08,overcast clouds
97,Proletarskiy,RU,50.7914,35.7731,60.98,49,6,5.66,clear sky
98,Paola,IT,39.3599,16.0396,81.7,55,100,4.36,overcast clouds
99,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,5.75,scattered clouds
100,Qaqortoq,GL,60.7167,-46.0333,28.89,69,7,7.43,clear sky
101,Mattru,SL,7.6244,-11.8332,85.26,69,94,1.88,light rain
102,Bonthe,SL,7.5264,-12.505,81.5,72,99,3.6,overcast clouds
103,Nanortalik,GL,60.1432,-45.2371,33.15,70,23,20.15,few clouds
104,Clyde River,CA,70.4692,-68.5914,23.23,80,100,8.05,overcast clouds
105,Gamba,GA,-2.65,10.0,80.24,72,87,6.51,light rain
106,Upata,VE,8.0086,-62.3989,75.2,84,94,5.66,overcast clouds
107,Santo Antonio Do Monte,BR,-20.0872,-45.2936,72.07,64,93,1.88,overcast clouds
108,Cidreira,BR,-30.1811,-50.2056,67.24,62,0,5.77,clear sky
109,Bonavista,CA,48.6499,-53.1147,50.04,84,100,10.98,overcast clouds
110,Jawhar,SO,2.7809,45.5005,86.0,47,81,19.51,broken clouds
111,Mogadishu,SO,2.0371,45.3438,85.87,70,75,12.66,broken clouds
112,Boende,CD,-0.2167,20.8667,92.7,39,65,2.46,broken clouds
113,Corozal,CO,9.3151,-75.2928,72.66,98,100,3.33,overcast clouds
114,Huarmey,PE,-10.0681,-78.1522,61.86,84,81,8.43,broken clouds
115,Ust-Kalmanka,RU,52.1207,83.305,58.41,34,24,7.31,few clouds
116,Bafq,IR,31.6128,55.4107,83.17,9,0,15.01,clear sky
117,Torbay,CA,47.6666,-52.7314,51.76,92,100,10.36,overcast clouds
118,Anloga,GH,5.7947,0.8973,81.82,72,100,8.39,light rain
119,Campbeltown,GB,55.4258,-5.6076,57.25,76,69,16.44,broken clouds
120,Berlevag,NO,70.8578,29.0864,44.6,70,100,11.5,overcast clouds
121,Paipa,CO,5.7801,-73.1171,52.88,87,92,3.85,overcast clouds
122,Lwowek Slaski,PL,51.1107,15.5858,63.25,66,99,13.38,overcast clouds
123,Namibe,AO,-15.1961,12.1522,74.48,74,51,11.72,broken clouds
124,Elizabeth City,US,36.2946,-76.2511,61.02,81,0,12.66,clear sky
125,Tromso,NO,69.6496,18.957,44.62,87,75,12.66,broken clouds
126,Mahebourg,MU,-20.4081,57.7,77.29,61,40,16.11,scattered clouds
127,Casablanca,MA,33.5928,-7.6192,82.62,65,64,4.61,broken clouds
128,Camacha,PT,33.0833,-16.3333,71.02,68,40,18.41,scattered clouds
129,Qarqin,AF,37.4185,66.0436,79.02,10,0,8.37,clear sky
130,Tucuman,AR,-26.8241,-65.2226,66.2,45,0,2.3,clear sky
131,Dikson,RU,73.5069,80.5464,30.61,90,94,6.44,overcast clouds
132,Manoel Urbano,BR,-8.8389,-69.2597,74.61,82,97,3.15,overcast clouds
133,Bosobolo,CD,4.1833,19.9,76.68,84,99,0.74,light rain
134,Ponta Do Sol,PT,32.6667,-17.1,77.72,80,20,3.0,few clouds
135,Hambantota,LK,6.1241,81.1185,82.74,83,40,8.05,scattered clouds
136,Leshukonskoye,RU,64.8989,45.7622,47.98,94,100,11.05,overcast clouds
137,Henties Bay,NA,-22.116,14.2845,64.42,68,42,13.71,scattered clouds
138,Garowe,SO,8.4054,48.4845,93.09,24,19,4.5,few clouds
139,Guarapari,BR,-20.6667,-40.4975,78.28,76,97,9.24,overcast clouds
140,Tefe,BR,-3.3542,-64.7114,77.11,88,20,4.61,few clouds
141,Baft,IR,29.234,56.6057,71.8,5,0,11.72,clear sky
142,Storforshei,NO,66.4043,14.5233,43.66,86,75,3.44,broken clouds
143,Puerto Carreno,CO,6.189,-67.4859,75.18,100,0,2.3,clear sky
144,Ochakiv,UA,46.6128,31.5498,67.87,54,95,9.8,overcast clouds
145,Pizarro,CO,4.9533,-77.366,73.67,96,100,9.95,heavy intensity rain
146,Mugur-Aksy,RU,50.35,90.5,31.39,48,28,6.49,scattered clouds
147,Proddatur,IN,14.7333,78.55,83.55,68,90,6.33,overcast clouds
148,Pauini,BR,-7.7136,-66.9764,78.62,73,82,3.49,broken clouds
149,Chapais,CA,49.7834,-74.8492,28.18,92,87,9.66,overcast clouds
150,Stornoway,GB,58.2093,-6.3865,53.92,78,75,17.27,broken clouds
151,Kudahuvadhoo,MV,2.6708,72.8944,82.22,71,80,16.87,broken clouds
152,Lebu,CL,-37.6167,-73.65,47.21,64,73,14.2,broken clouds
153,Troitsko-Pechorsk,RU,62.7084,56.1964,45.63,74,82,7.78,broken clouds
154,Raudeberg,NO,61.9875,5.1352,45.27,1,98,18.75,overcast clouds
155,Naifaru,MV,5.4444,73.3657,81.72,76,99,16.62,overcast clouds
156,Gashua,NG,12.871,11.0482,96.66,21,20,4.16,few clouds
157,Mabaruma,GY,8.2,-59.7833,78.8,90,100,3.83,overcast clouds
158,Tibu,CO,8.639,-72.7358,74.89,97,98,1.01,overcast clouds
159,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,12.66,scattered clouds
160,Tiznit,MA,29.5833,-9.5,86.76,23,100,10.33,overcast clouds
161,Husavik,IS,66.0449,-17.3389,37.42,78,98,8.37,overcast clouds
162,Mbini,GQ,1.574,9.6134,81.19,72,83,8.3,broken clouds
163,Souillac,MU,-20.5167,57.5167,77.38,61,40,16.11,scattered clouds
164,Oistins,BB,13.0667,-59.5333,82.49,74,40,19.57,scattered clouds
165,Wajir,KE,1.7471,40.0573,91.36,33,75,9.22,broken clouds
166,Zilupe,LV,56.3862,28.1217,52.59,85,98,10.8,overcast clouds
167,Trofors,NO,65.5333,13.4063,42.67,86,100,6.73,overcast clouds
168,Urucara,BR,-2.5364,-57.76,86.36,49,15,5.64,few clouds
169,Muisne,EC,0.6,-80.0333,73.78,85,100,13.09,overcast clouds
170,Diego De Almagro,CL,-26.3667,-70.05,60.3,35,47,1.9,scattered clouds
171,Yining,CN,29.0361,114.5636,56.82,95,98,1.54,overcast clouds
172,Quatre Cocos,MU,-20.2078,57.7625,77.11,65,27,17.29,scattered clouds
173,Ancud,CL,-41.8697,-73.8203,44.22,69,5,5.3,clear sky
174,Plopsoru,RO,44.7833,23.35,71.29,44,34,1.88,scattered clouds
175,Vila Velha,BR,-20.3297,-40.2925,80.55,78,0,3.44,clear sky
176,Saint-Augustin,CA,51.226,-58.6502,45.09,95,100,16.51,overcast clouds
177,Bilecik,TR,40.0,30.1667,51.22,95,100,10.36,light rain
178,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,2.3,fog
179,Touros,BR,-5.1989,-35.4608,84.61,60,8,17.52,clear sky
180,Coruripe,BR,-10.1256,-36.1756,79.36,70,67,12.86,broken clouds
181,Wattegama,LK,6.7989,81.4808,83.08,65,86,4.63,overcast clouds
182,Porto Novo,BJ,6.4965,2.6036,84.02,91,100,4.63,light rain
183,Qesarya,IL,32.5189,34.9046,81.36,59,45,12.46,scattered clouds
184,Scarborough,GB,54.2797,-0.4044,57.16,72,6,1.01,clear sky
185,Linhares,BR,-19.3911,-40.0722,83.62,59,92,6.6,overcast clouds
186,Nueva Gerona,CU,21.8833,-82.8,80.31,72,84,16.28,broken clouds
